DN_mm;A_m2;v100_mPs;Q100_lPs
150;0.018;0.87;15
200;0.031;1.06;33
250;0.049;1.23;60
300;0.071;1.39;98
350;0.096;1.53;147
400;0.126;1.67;210
450;0.159;1.80;286
500;0.196;1.93;378
600;0.283;2.17;613
700;0.385;2.39;921
800;0.503;2.60;1309
900;0.636;2.81;1785
1000;0.785;3.00;2355
1100;0.950;3.18;3026
1200;1.131;3.36;3803
1300;1.327;3.54;4692
1400;1.539;3.70;5700
1500;1.767;3.87;6831
1600;2.011;4.02;8091
1700;2.270;4.18;9484
1800;2.545;4.33;11017
1900;2.835;4.48;12693
2000;3.142;4.62;14518
2100;3.464;4.76;16496
2200;3.801;4.90;18632
2300;4.155;5.04;20931
2400;4.524;5.17;23896
2500;4.909;5.30;26033
2600;5.309;5.43;28845
2800;6.158;5.69;35011
3000;7.069;5.93;41929
3200;8.042;6.17;49630
3400;9.080;6.40;58144
3600;10.180;6.63;67502
